"ID";"SculpName";"Photo";"Author";"ManufactYear";"Material";"Description";"LocationPlace";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"Код";"Наименование скульптуры";"Фотография";"Автор";"Год изготовления";"Материал изготовления";"Описание";"Месторасположение";"Долгота в WGS-84";"Широта в WGS-84";"global_id";"geodata_center";"geoarea";
"2";"«Памятник В.И. Ленину»";"476806d3-648d-4f47-8230-87baed230ac0";"Скульптор Николай Брацун, архитектор Вадим Ениосов";"1976";"Кованая медь, гранит";"Представляет собой скульптуру В.И. Ленина из кованной меди, расположенную на невысоком гранитном постаменте высотой 1 м. Владимир Ильич запечатлен сидящим на шпалах. На плечи накинут плащ. На коленях лежат документы, в которые он делает пометки.";"ГАУК г. Москвы ПКиО «Красная Пресня»";"37.551259";"55.755247";"881805596";"";"";
"3";"«Участникам московского декабрьского вооруженного восстания одна тысяча девятьсот пятого года»";"96b75fe2-4d2d-4bc4-bea0-4af0e4a270e0";"Скульптор Владимир Глебов";"1957";"Бронза";"Памятник представляет собой бронзовую скульптуру рабочего в полный рост, размещенную на бронзовой плите на гранитном постаменте.";"ГАУК г. Москвы ПКиО «Перовский»";"37.773086";"55.738813";"881805686";"";"";
"4";"«Ямщику»";"412e7c68-a259-4f87-8fb2-21a206b8ec87";"Скульптор Салават Щербаков";"2009";"Бронза";"Бронзовая скульптура шагающего ямщика в левой руке держащем конскую сбрую, на правом плече перекинута дуга.";"ГАУК г. Москвы ПКиО «Перовский», Зона отдыха «Терлецкая Дубрава»";"37.814405";"55.765565";"881805715";"";"";
"5";"«Военному инструктору с собакой»";"21f3d141-e237-4bc1-ae7e-479f4eede68b";"Скульптор Салават Щербаков";"2009";"Бронза";"Памятник представляет собой бронзовые скульптуры присевшего на колено поводыря и овчарки. Именно здесь с 1924 года располагалась центральная военно-техническая школа служебного собаководства Красной Армии.";"ГАУК г. Москвы ПКиО «Перовский», Зона отдыха «Терлецкая Дубрава»";"37.8214";"55.765577";"881805742";"";"";
"27";"«Бюст с постаментом Виктора Гюго»";"5cabef54-8895-4fcf-a975-98567657d5e2";"Скульптор Лоран Оноре Маркест";"1920";"Бронза";"Памятник-бюст Виктору Гюго находится в саду «Эрмитаж», в непосредственной близости от театра «Сфера». Бюст расположен в западной части сада с двухтысячного года, является творением скульптора Лорана Маркеста. Памятник Виктора Гюго был подарен саду «Эрмитаж» мэрией Парижа. Бюст гениального французского поэта, прозаика и драматурга окружен живописной цветочной клумбой и является бесценным украшением самого романтичного сада Москвы.";"ГАУК г. Москвы МГС «Эрмитаж», в теневой части сада рядом с детской площадкой";"37.608170";"55.770236";"881824098";"";"";
"28";"«Бюст с постаментом Данте Алигьери»";"d39e8ded-c2db-4210-b5b9-5ea0ce2ad0e5";"Скульптор Ринальдо Пирас";"";"Естественный камень";"Памятник Данте Алигьери установлен в саду «Эрмитаж» в 2000 году и передан в дар Москве правительством Италии при участии общества имени Данте Алигьери. Этот бюст был выполнен итальянским скульптором Ринальдо Пирасом. Высеченная на памятнике цитата из «Божественной комедии» в переводе русского поэта Михаила Леонидовича Лозинского: «Он возжелал свободы столь бесценной, как знают все, кто жизнь ей отдает» стала посвящением самому Данте и его высоким стремлениям.";"ГАУК г. Москвы МГС «Эрмитаж», у театра «Новая Опера» им. Е.В.Колобова";"37.608552";"55.771046";"881824108";"";"";
"29";"«Бюст композитора П.И. Чайковского»";"8da22279-c962-471e-a900-ea81d31be2c6";"Предположительно скульптор Кирпичникова Татьяна Сергеевна";"";"Мрамор";"Памятник-бюст П.И. Чайковского установлен в саду «Эрмитаж» в 2011 году и расположен около летней эстрады, в северной части сада. Белоснежный невысокий, памятник величайшего композитора выполнен из светло-серого мрамора с темными вкраплениями и покрыт несколькими слоями белой масляной краски.";"ГАУК г. Москвы МГС «Эрмитаж», справа от летней эстрады";"37.607766";"55.771191";"881824114";"";"";
"30";"«Бюст композитора М.И. Глинки»";"18496932-4c19-42f1-8061-b52627eb93d7";"Предположительно скульптор Гинцбург Илья Яковлевич";"";"Мрамор";"Памятник-бюст М.И. Глинки установлен в саду «Эрмитаж» в 2011 году и расположен в северной части сада, неподалеку от летней эстрады. Памятник выполнен из светло-серого мрамора с темными вкраплениями и покрыт несколькими слоями белой масляной краски.";"ГАУК г. Москвы МГС «Эрмитаж», слева от летней эстрады";"37.607459";"55.771127";"881824122";"";"";
"31";"Памятник скульптура «Половецкая баба»";"14629c9b-7dc8-4d6d-aec7-df42b9fcec4e";"Неизвестный автор";"";"Камень песчаник";"Скульптура каменная «Половецкой бабы» из серого песчаника.";"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»";"37.668338";"55.667065";"881824135";"";"";
"32";"Скульптура «Петр Первый»";"65f1c7b8-cbe0-4e34-b298-04d34910430b";"Скульптор Франгулян Георгий Вартанович";"1998";"Бронза";"Копия знаменитой скульптуры «Петр Первый», памятника «Петру Первому», установленного в центре Антверпена (Бельгия). Скульптура находится на территории парка во временном, безвозмездном пользовании.";"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»";"37.667226";"55.667229";"881824143";"";"";
"34";"«Скульптуры двух львиц»";"6cbc3a89-bafa-421c-a95e-2ec0a602b78c";"Неизвестный автор";"2006";"Белый камень";"Воссозданные скульптуры львиц на террасе воссозданного фасада Павильона 1825 года XVII века.";"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»";"37.671699";"55.668539";"881824150";"";"";
"35";"Статуя «Диана»";"1118c794-22f8-4df9-8e1d-fbc6410fe4c5";"Неизвестный автор";"";"Бетон";"Садово-парковая скульптура богини охоты и плодородия Дианы.";"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»";"37.669489";"55.670255";"881824153";"";"";
"36";"Монументальный памятник «Пётр Первый»";"ce5ba351-c7b0-4544-b4b4-b7c9a0588a41";"Скульптор Кербель Лев Ефимович";"1998";"Металлический сплав";"Скульптура из металлического сплава на гранитном пьедестале.";"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское», территория «Измайлово»";"37.763844";"55.791070";"881824156";"";"";
"37";"«Памятник-бюст Н.Э. Бауману»";"177e0624-846e-4ef0-a407-63a3ef6cd83e";"Скульптор Одиноко В Н, архитектор Климов В А";"1972";"Гранит";"Бронзовый памятник-бюст пламенного революционера Николая Эрнестовича Баумана, погибшего в 1905 году, имя которого носит Сад.";"ГАУК г. Москвы «Сад КиО им. Н.Э. Баумана», Главная аллея";"37.659509";"55.767912";"881824157";"";"";
"38";"«Семья»";"f14705a9-6e6e-45bc-ad9f-a9252f290ebd";"Скульптор Согоян Фридрих Мкртичевич";"2014";"Декоративный камень";"Образ молодой семьи, которую составляют собой две фигуры, отца и матери, бережно качающего на руках свое дитя.";"ГАУК г. Москвы «ПКиО «Дубки», Гончаровский парк, южная часть";"37.587913";"55.813308";"881824160";"";"";
